duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,1.000000,0.000000,0.000000,0.000000,0.016259,-0.018257,0.008563,-0.001580,0.000000,0.000000,0.000000,0.000000,-0.014991,0.019018,-0.009348,0.001774,0.000000,0.000000,0.000000,0.000000,0.148973,-0.165605,0.077344,-0.014231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.004984,0.014067,0.010248,-0.001570,-0.001873,0.001595,-0.000679,0.000121,-0.003547,-0.008546,-0.002733,0.005348,0.001973,-0.001813,0.000811,-0.000150,0.046480,0.132309,0.099085,-0.011379,-0.016991,0.014403,-0.006148,0.001102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.026892,0.027105,0.002598,-0.002469,0.000140,-0.000071,-0.000030,0.000019,-0.008657,0.004676,0.016041,0.006095,-0.000161,0.000091,0.000033,-0.000021,0.258861,0.271218,0.037953,-0.019703,0.001375,-0.000931,0.000260,-0.000023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.054185,0.025050,-0.004740,-0.002572,-0.000017,-0.000177,0.000515,-0.000125,0.018098,0.054910,0.034331,0.006295,0.000063,0.000198,-0.000616,0.000128,0.549010,0.290259,-0.018802,-0.019125,-0.000193,-0.000231,0.000901,-0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.072118,0.009115,-0.009226,0.001522,0.002458,-0.000489,-0.000884,0.000354,0.113407,0.140895,0.049012,0.000674,-0.003717,0.000805,0.000344,-0.000143,0.801646,0.197544,-0.069776,-0.010267,0.006084,-0.001551,0.000088,0.000099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.074968,-0.000208,-0.000623,0.001182,-0.000849,0.000500,-0.000182,0.000016,0.301277,0.231159,0.038932,-0.004282,0.000448,0.000109,-0.000271,0.000067,0.923867,0.044989,-0.076195,0.003768,0.003099,-0.000982,-0.000007,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.074804,0.000215,0.000429,-0.000302,-0.000525,-0.000376,-0.000266,0.000250,0.567438,0.297354,0.027198,-0.004488,-0.000740,0.000144,0.000020,-0.000020,0.898592,-0.088280,-0.055107,0.008055,-0.000070,-0.000075,0.000049,-0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.074228,-0.003664,-0.006140,-0.002751,0.002339,-0.000247,-0.000293,0.000094,0.886905,0.336028,0.010624,-0.006291,-0.000404,0.000132,-0.000002,-0.000006,0.763150,-0.174786,-0.031666,0.007522,-0.000193,0.000062,-0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.063566,-0.017176,-0.005248,0.001569,0.000004,-0.000133,0.000091,-0.000021,1.226986,0.337392,-0.009513,-0.006845,0.000007,0.000015,-0.000012,0.000004,0.564085,-0.216037,-0.009705,0.007259,0.000007,0.000001,-0.000002,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.042652,-0.023213,-0.000917,0.001349,-0.000022,0.000029,-0.000020,0.000008,1.548034,0.297893,-0.029943,-0.006752,0.000057,-0.000055,0.000053,-0.000041,0.345607,-0.213656,0.012073,0.007225,-0.000047,0.000045,-0.000046,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.019865,-0.021008,0.003157,0.001435,0.000108,-0.000055,0.000121,-0.000084,1.809246,0.217734,-0.050474,-0.007451,-0.000861,0.000396,-0.000913,0.000665,0.151236,-0.167826,0.033971,0.007808,0.000729,-0.000347,0.000795,-0.000568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.003538,-0.010095,0.007612,0.000802,-0.001284,0.000029,-0.001677,0.001074,1.968340,0.092141,-0.073771,-0.001927,0.010694,-0.000068,0.013390,-0.008799,0.025797,-0.074491,0.058285,0.003262,-0.008970,0.000116,-0.011429,0.007430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
