duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,0.500000,0.000000,0.000000,0.000000,-0.025266,0.027316,-0.012605,0.002302,-0.500000,0.000000,0.000000,0.000000,-0.008573,0.009950,-0.004731,0.000880,0.500000,0.000000,0.000000,0.000000,0.099989,-0.109153,0.050583,-0.009261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.491747,-0.024002,-0.019176,0.000553,0.002795,-0.002323,0.000979,-0.000174,-0.502473,-0.006762,-0.004409,0.001405,0.001025,-0.000896,0.000391,-0.000071,0.532157,0.092857,0.072655,-0.004067,-0.011182,0.009360,-0.003966,0.000708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.450399,-0.056473,-0.012944,0.001994,-0.000225,0.000157,-0.000061,0.000011,-0.511790,-0.009895,0.001368,0.001871,-0.000087,0.000064,-0.000026,0.000005,0.688522,0.209198,0.042340,-0.009735,0.000908,-0.000639,0.000250,-0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.382857,-0.076786,-0.007436,0.001812,0.000014,-0.000007,0.000001,0.000000,-0.518490,-0.001697,0.006807,0.001805,0.000004,0.000003,-0.000008,0.000003,0.930800,0.266308,0.015036,-0.009007,-0.000054,0.000021,0.000008,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.300455,-0.086194,-0.001967,0.001826,0.000002,-0.000008,0.000015,-0.000005,-0.511574,0.017336,0.012221,0.001803,0.000013,-0.000039,0.000073,-0.000025,1.203106,0.269255,-0.012098,-0.009051,-0.000027,0.000086,-0.000163,0.000056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.214125,-0.084626,0.003562,0.001875,0.000008,0.000031,-0.000095,0.000019,-0.480191,0.047309,0.017892,0.002054,0.000041,0.000157,-0.000477,0.000098,1.451163,0.217637,-0.039830,-0.009608,-0.000091,-0.000351,0.001063,-0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.134899,-0.072122,0.008533,0.001002,-0.000580,0.000130,0.000041,-0.000020,-0.413118,0.088024,0.020763,-0.002339,-0.002915,0.000658,0.000205,-0.000096,1.619766,0.111892,-0.061329,0.000167,0.006486,-0.001462,-0.000457,0.000216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.071883,-0.053611,0.009566,0.000120,0.000001,0.000030,-0.000025,0.000010,-0.308818,0.114718,0.003886,-0.006695,0.000074,0.000091,-0.000066,-0.000001,1.675280,0.007142,-0.038846,0.009913,-0.000120,-0.000245,0.000189,-0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.027974,-0.034046,0.010061,0.000260,0.000109,-0.000048,0.000105,-0.000080,-0.196811,0.102752,-0.015857,-0.006846,-0.000498,0.000230,-0.000562,0.000400,1.653283,-0.041598,-0.010095,0.009672,0.000397,-0.000190,0.000504,-0.000342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.004336,-0.012878,0.010910,-0.000483,-0.001355,-0.000017,-0.001603,0.001089,-0.117192,0.049087,-0.037113,-0.003779,0.006220,-0.000132,0.008106,-0.005197,1.611631,-0.031500,0.019792,0.007486,-0.004948,0.000260,-0.006995,0.004274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
