duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,0.032904,0.000000,0.000000,0.000000,-0.018746,0.020159,-0.009280,0.001692,-0.421430,0.000000,0.000000,0.000000,-0.002915,0.003135,-0.001443,0.000263,1.623700,0.000000,0.000000,0.000000,0.017904,-0.019254,0.008863,-0.001616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.026729,-0.018026,-0.014559,0.000218,0.002062,-0.001707,0.000717,-0.000127,-0.422390,-0.002802,-0.002263,0.000034,0.000321,-0.000265,0.000112,-0.000020,1.629598,0.017218,0.013906,-0.000208,-0.001969,0.001630,-0.000685,0.000122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.004692,-0.043362,-0.010513,0.001291,-0.000166,0.000115,-0.000045,0.000008,-0.427274,-0.006739,-0.001633,0.000201,-0.000026,0.000018,-0.000007,0.000001,1.659611,0.041420,0.010044,-0.001233,0.000158,-0.000110,0.000043,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.057364,-0.060816,-0.006991,0.001156,0.000011,-0.000006,0.000002,-0.000000,-0.435459,-0.009448,-0.001084,0.000180,0.000002,-0.000001,0.000000,-0.000000,1.709926,0.058097,0.006681,-0.001104,-0.000010,0.000006,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.124009,-0.071308,-0.003496,0.001167,-0.000001,0.000000,-0.000000,0.000000,-0.445811,-0.011074,-0.000540,0.000182,-0.000000,0.000000,0.000000,-0.000000,1.773594,0.068126,0.003343,-0.001115,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.197647,-0.074802,0.000003,0.001166,-0.000000,0.000000,-0.000000,0.000000,-0.457243,-0.011611,0.000003,0.000181,-0.000000,0.000000,0.000000,-0.000000,1.843949,0.071469,0.000000,-0.001114,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.271280,-0.071298,0.003501,0.001167,0.000000,-0.000001,0.000000,-0.000000,-0.468670,-0.011061,0.000546,0.000181,0.000000,-0.000000,0.000000,-0.000000,1.914304,0.068126,-0.003343,-0.001115,-0.000001,0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.337910,-0.060798,0.006993,0.001155,-0.000011,0.000010,-0.000010,0.000008,-0.479005,-0.009428,0.001087,0.000179,-0.000002,0.000002,-0.000001,0.000001,1.977973,0.058098,-0.006681,-0.001104,0.000010,-0.000009,0.000009,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.390562,-0.043343,0.010511,0.001289,0.000165,-0.000075,0.000173,-0.000127,-0.487167,-0.006718,0.001631,0.000199,0.000026,-0.000012,0.000027,-0.000020,2.028288,0.041421,-0.010044,-0.001233,-0.000158,0.000072,-0.000166,0.000122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.421968,-0.018016,0.014551,0.000217,-0.002061,0.000008,-0.002561,0.001691,-0.492034,-0.002791,0.002255,0.000033,-0.000319,0.000001,-0.000397,0.000262,2.058302,0.017218,-0.013906,-0.000208,0.001969,-0.000007,0.002448,-0.001616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
