duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,-3.050000,0.000000,0.000000,0.000000,-0.060696,0.043589,-0.012758,-0.000719,-0.500000,0.000000,0.000000,0.000000,0.048791,-0.090020,0.057520,-0.015756,2.865000,0.000000,0.000000,0.000000,-0.555496,0.656161,-0.332329,0.065456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.050198,-0.003018,-0.016713,-0.037538,-0.018564,0.023824,-0.013237,0.004036,-0.499884,0.001601,0.007278,0.008350,-0.018425,-0.024226,0.029083,-0.012100,2.863394,-0.023738,-0.123916,-0.240299,-0.011056,0.244337,-0.209460,0.073350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.052636,-0.019179,-0.048798,-0.044798,0.001013,0.009253,-0.005910,0.003867,-0.498988,0.005331,0.004302,-0.017783,-0.028060,0.003935,0.008044,-0.005516,2.846109,-0.127773,-0.280877,-0.154072,0.138110,0.024387,-0.080521,0.041468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.061168,-0.051761,-0.080838,-0.039319,0.009154,0.005328,0.001018,0.001681,-0.497768,0.002509,-0.018584,-0.041623,-0.018616,0.009039,-0.001343,-0.001076,2.794749,-0.288392,-0.344696,-0.020213,0.115783,-0.043678,-0.009231,0.014123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.079734,-0.098868,-0.105968,-0.026287,0.017687,0.008793,0.004225,-0.002581,-0.499017,-0.015585,-0.055472,-0.055157,-0.009165,0.005751,-0.003057,0.001148,2.701200,-0.458177,-0.323513,0.067318,0.060255,-0.039900,0.014301,-0.000416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.111406,-0.155483,-0.117482,-0.002138,0.031227,0.011276,0.000058,-0.010004,-0.507273,-0.054139,-0.099533,-0.061526,-0.004214,0.002737,-0.000968,0.002164,2.567688,-0.604241,-0.255834,0.107047,0.023559,-0.019359,0.013004,-0.006211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.157520,-0.212470,-0.105815,0.034787,0.039905,-0.002338,-0.017510,0.008295,-0.528004,-0.115654,-0.146843,-0.064036,-0.000516,0.004131,0.002940,0.003364,2.402387,-0.710927,-0.169104,0.121721,0.008155,-0.008126,0.001898,-0.001082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.216558,-0.256495,-0.065982,0.068893,0.025103,-0.018088,-0.003535,0.002379,-0.567093,-0.201010,-0.194177,-0.060592,0.009244,0.012811,0.009210,0.001043,2.216012,-0.772296,-0.075936,0.125242,-0.000815,-0.006687,-0.000195,-0.000888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.283649,-0.275369,-0.007882,0.081912,0.000481,-0.020275,0.000023,0.002260,-0.630377,-0.308576,-0.233591,-0.040320,0.034462,0.027472,0.011863,-0.007311,2.020139,-0.786966,0.016615,0.120065,-0.009843,-0.007998,-0.001989,0.001478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.351722,-0.264314,0.050612,0.070037,-0.023606,-0.016925,0.003462,0.007697,-0.722586,-0.430184,-0.246071,0.014019,0.075925,0.034537,0.000135,-0.025265,1.826265,-0.756927,0.101637,0.104804,-0.020897,-0.008730,0.000327,0.006420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.413650,-0.227648,0.092004,0.037987,-0.037308,-0.001098,0.016891,-0.009586,-0.844964,-0.545213,-0.202198,0.108118,0.105406,0.000069,-0.044052,0.018459,1.644934,-0.687921,0.171190,0.079431,-0.027992,0.000586,0.011575,-0.009226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.464362,-0.176794,0.107125,0.003961,-0.028087,0.012076,0.000477,-0.002912,-0.991813,-0.619677,-0.083774,0.202325,0.074288,-0.042879,-0.013026,0.000979,1.484788,-0.589119,0.220846,0.054160,-0.021454,0.006164,-0.004384,-0.004057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.501901,-0.124011,0.101418,-0.016828,-0.014137,0.009185,-0.004347,0.000512,-1.148562,-0.619898,0.088385,0.245877,0.009013,-0.061256,-0.013136,-0.000980,1.352078,-0.469794,0.254044,0.034634,-0.020078,-0.005428,-0.011650,0.000883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.526875,-0.077186,0.084687,-0.026512,-0.006450,0.003437,-0.003350,0.002095,-1.294198,-0.530315,0.265811,0.212365,-0.080408,-0.081033,-0.017295,0.018366,1.250962,-0.337706,0.270978,0.007643,-0.037302,-0.021178,-0.010750,0.009901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.541316,-0.040165,0.062768,-0.031575,-0.004149,0.001223,0.000351,0.003074,-1.407242,-0.364269,0.381633,0.078417,-0.187870,-0.080095,0.012415,0.062743,1.183423,-0.203575,0.258986,-0.044900,-0.068438,-0.023298,0.005866,0.026047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.547942,-0.014930,0.037805,-0.034430,-0.000611,0.005791,0.005894,0.003148,-1.474037,-0.171876,0.359494,-0.147054,-0.242037,0.024448,0.122606,0.118851,1.147727,-0.087154,0.196884,-0.122505,-0.077817,0.020829,0.051941,0.043933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-3.549845,-0.002368,0.013069,-0.029149,0.013875,0.018524,0.012019,-0.000439,-1.497720,-0.033430,0.171881,-0.319248,-0.031537,0.363886,0.343090,0.118051,1.136061,-0.015759,0.083023,-0.165065,0.020940,0.155725,0.134125,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
