t,accx,accy,accz,gyrox,gyroy,gyroz
381266,-0.000732422,-0.000732422,1.00098,0.0985563,-0.0954866,-0.189513
381296,-0.000488281,-0.000488281,1.0022,0.129074,-0.0344515,-0.0064075
381306,-0.000488281,-0.000244141,1.00195,0.0680387,-0.126004,-0.158995
381316,-0.000488281,-0.000244141,1.00146,0.00700355,-0.156522,-0.0674427
381326,-0.000488281,-0.000244141,1.00146,0.0375211,-0.156522,-0.158995
381336,-0.000732422,0,1.00073,0.0985563,-0.126004,-0.0674427
381376,-0.000732422,0,1.00098,0.00700355,-0.126004,0.0241101
381386,-0.000488281,-0.000244141,1.00122,-0.115067,-0.0649691,-0.189513
381396,-0.000732422,-0.000488281,1.00171,0.0985563,-0.187039,0.0546277
381406,-0.000976562,-0.000488281,1.00146,0.129074,-0.0649691,-0.0979602
381416,-0.000976562,-0.000488281,1.00122,0.190109,-0.126004,-0.0064075
381426,-0.000976562,-0.000976562,1.00195,0.159591,-0.339627,-0.250548
381446,-0.000244141,-0.000488281,1.00146,0.0375211,-0.0649691,-0.158995
381456,-0.000488281,0,1.00195,0.00700355,-0.0344515,-0.0674427
381466,-0.000244141,0,1.00195,0.190109,-0.0954866,0.0851452
381476,-0.000244141,0,1.00171,0.0680387,-0.0649691,-0.0674427
381486,-0.000488281,-0.000244141,1.0022,0.0985563,-0.0649691,-0.372618
381496,-0.000488281,-0.000488281,1.00195,0.00700355,-0.00393391,-0.128478
381506,-0.000976562,-0.000244141,1.0022,0.00700355,0.0265837,-0.0369251
381516,-0.000976562,-0.000488281,1.00195,0.00700355,0.0265837,-0.0674427
381526,-0.000976562,-0.000488281,1.00171,0.129074,-0.278592,0.0241101
381536,-0.000976562,-0.000244141,1.00146,0.0680387,-0.217557,0.0546277
381546,-0.0012207,0,1.00073,0.190109,-0.0344515,-0.0064075
381556,-0.000976562,0.000244141,1.00122,0.159591,-0.00393391,-0.220031
381566,-0.000976562,-0.000244141,1.00098,0.129074,-0.0649691,-0.0369251
381576,-0.0012207,0,1.00098,0.190109,-0.0344515,-0.128478
381586,-0.0012207,0.000244141,1.00098,-0.023514,-0.156522,-0.0064075
381596,-0.0012207,0.000244141,1.00122,0.0680387,-0.156522,-0.158995
381606,-0.000976562,0.000488281,1.00146,0.0375211,-0.126004,-0.0674427
381616,-0.000732422,-0.000244141,1.00195,0.0375211,-0.0344515,-0.0369251
381626,-0.000732422,-0.000488281,1.0022,0.159591,-0.00393391,-0.0674427
381686,-0.000976562,-0.000976562,1.00049,0.0375211,-0.217557,0.0241101
381696,-0.000976562,-0.000976562,1,0.00700355,-0.0954866,-0.0979602
381706,-0.000976562,-0.0012207,1.00024,0.0375211,-0.00393391,-0.0064075
381716,-0.000976562,-0.000976562,1.00049,0.00700355,-0.0649691,-0.0674427
381736,-0.0012207,-0.000488281,1.00024,0.0680387,-0.217557,-0.0979602
381766,-0.0012207,-0.000244141,1,0.0375211,-0.0954866,-0.189513
381786,-0.0012207,-0.000244141,1,0.00700355,-0.0344515,-0.0674427
381876,-0.000732422,-0.000732422,1,0.00700355,-0.00393391,-0.0369251
382056,-0.0012207,-0.000488281,1.00146,-0.0845492,-0.126004,-0.0369251
382076,-0.0012207,-0.000244141,1.00073,-0.0540316,-0.156522,-0.128478
382186,-0.00146484,0.000244141,1.00098,0.0680387,-0.0954866,-0.0064075
382206,-0.00170898,0.000244141,1.00073,0.129074,-0.187039,-0.311583
382346,-0.000976562,-0.000732422,1.00098,-0.0845492,-0.187039,-0.0979602
382416,-0.00146484,-0.000244141,1.00171,0.00700355,-0.126004,-0.0064075
382436,-0.0012207,-0.000488281,1.00195,0.0375211,0.0265837,-0.0979602
382466,-0.000976562,-0.000488281,1.00098,0.129074,0.0571012,-0.0979602
382536,-0.000732422,-0.000244141,1.00146,0.0985563,-0.0649691,-0.128478
382546,-0.000976562,-0.000488281,1.00171,0.0985563,-0.0954866,-0.0064075
382616,-0.000976562,-0.0012207,1.0022,-0.023514,-0.0649691,-0.0674427
382666,-0.000732422,-0.000976562,1.00146,0.129074,-0.0954866,-0.0979602
382696,-0.000732422,-0.000244141,1.00195,0.0375211,-0.0649691,-0.250548
382706,-0.000732422,-0.000732422,1.0022,0.0375211,-0.126004,0.0241101
382716,-0.000976562,-0.000976562,1.00122,-0.023514,-0.0649691,-0.158995
382726,-0.000976562,-0.000732422,1.00122,0.0985563,-0.0954866,-0.250548
382736,-0.000976562,-0.000732422,1.00146,-0.023514,0.0265837,-0.0979602
