t,accx,accy,accz,gyrox,gyroy,gyroz
44794,-0.000488281,-0.000488281,0.996826,0.11915,0.106812,0.0239015
44804,-0.000976562,-0.000488281,0.996826,0.027597,0.0762939,0.054419
44814,-0.000976562,-0.000732422,0.99707,0.149667,-0.0152588,-0.0676513
44824,-0.000732422,-0.000488281,0.997314,0.027597,0.0152588,-0.0371337
44834,-0.000732422,-0.000244141,0.997559,0.027597,-0.0457764,0.0239015
44844,-0.000732422,0,0.99707,-0.00292063,-0.0152588,-0.128686
44854,-0.000976562,0,0.997314,-0.124991,0.0762939,-0.00661612
44864,-0.000976562,-0.000244141,0.996826,-0.0639558,0.0457764,0.054419
44874,-0.000976562,0.000244141,0.996826,-0.0944734,0.106812,0.0239015
44884,-0.000976562,0.000244141,0.99707,-0.0639558,0.137329,-0.0981688
44894,-0.000488281,0,0.997559,0.027597,-0.0152588,-0.159204
44904,-0.000732422,0,0.99707,0.0886321,-0.0152588,-0.159204
44914,-0.000732422,0,0.99707,-0.0639558,-0.0152588,-0.0981688
44924,-0.000488281,0,0.99707,0.149667,-0.0457764,0.115454
44934,-0.000488281,0.000244141,0.99707,0.0886321,0.167847,0.0239015
44944,-0.000488281,0.000244141,0.997559,0.0886321,0.0457764,0.054419
44954,-0.000488281,0.000244141,0.997803,0.0886321,-0.0152588,0.115454
44964,-0.000732422,0.000488281,0.997803,-0.0944734,0.0457764,0.054419
44974,-0.000488281,0.000244141,0.997803,-0.0334382,0.0152588,-0.159204
44984,-0.000488281,-0.000244141,0.997559,0.027597,-0.0457764,0.115454
44994,-0.000244141,0,0.997559,-0.00292063,0.137329,0.0849366
45004,-0.000244141,0,0.997314,0.0886321,-0.0152588,0.145972
45014,-0.000244141,0,0.99707,-0.124991,-0.0457764,-0.0676513
45024,-0.000244141,0,0.996094,-0.0334382,0.0762939,-0.189722
45034,-0.000732422,-0.000732422,0.99585,0.11915,0.0762939,0.0239015
45044,-0.000732422,-0.000732422,0.996094,0.027597,-0.0457764,0.0849366
45054,-0.000488281,-0.000488281,0.996338,-0.0639558,-0.0152588,-0.0676513
45064,-0.000488281,-0.000488281,0.996338,0.027597,-0.0457764,0.0239015
45074,-0.000488281,-0.000244141,0.996094,0.0886321,0.137329,0.145972
45084,-0.000488281,-0.000488281,0.99585,-0.0639558,0.137329,0.0239015
45094,-0.000244141,-0.000244141,0.996338,0.0886321,0.0762939,-0.0371337
45104,-0.000488281,-0.000244141,0.996826,0.11915,-0.106812,-0.0371337
45114,-0.000732422,-0.000244141,0.997314,-0.00292063,0.106812,-0.00661612
45124,-0.000732422,0,0.996826,-0.0944734,-0.0152588,0.115454
45144,-0.000244141,0,0.99707,0.0581145,-0.0762939,0.054419
45154,-0.000732422,0,0.996582,-0.0334382,0.0762939,-0.0981688
45164,-0.000488281,0,0.997314,0.027597,0.0762939,0.0849366
45174,-0.000732422,-0.000244141,0.99707,-0.00292063,0.0762939,0.054419
45184,-0.000732422,-0.000244141,0.997314,0.11915,-0.0762939,-0.0371337
45194,-0.000732422,-0.000488281,0.996826,-0.0639558,-0.106812,-0.00661612
45204,-0.000976562,-0.000732422,0.996094,-0.0944734,-0.0152588,0.0239015
45214,-0.0012207,-0.000732422,0.996826,0.11915,0.0762939,-0.0676513
45224,-0.000732422,-0.000976562,0.996826,-0.0334382,-0.0457764,-0.0371337
45234,-0.000488281,-0.000732422,0.996582,-0.0334382,-0.0152588,0.054419
45244,-0.000488281,-0.000488281,0.996826,0.0581145,-0.0152588,0.0849366
45254,-0.000244141,-0.000488281,0.997314,0.027597,-0.0457764,0.0239015
45264,-0.000244141,-0.000244141,0.997803,-0.0334382,0.0457764,-0.0676513
45274,-0.000244141,-0.000488281,0.997803,0.027597,0.0152588,0.145972
45284,-0.000244141,-0.000488281,0.997314,-0.0334382,-0.106812,-0.159204
45294,-0.000244141,-0.000488281,0.99707,-0.0334382,0.0762939,-0.00661612
45304,-0.000488281,-0.000244141,0.997314,0.0581145,0.137329,0.115454
45314,-0.000488281,0,0.997314,0.11915,-0.0457764,-0.0371337
45324,-0.000732422,0,0.997314,0.0581145,0.0762939,0.115454
45334,-0.000488281,-0.000244141,0.997314,0.0581145,-0.0457764,-0.0676513
45344,-0.000732422,0,0.996826,0.0581145,-0.0152588,-0.0371337
45354,-0.000488281,-0.000488281,0.99707,-0.0334382,-0.0762939,-0.00661612
45364,-0.000488281,-0.000732422,0.997559,-0.0334382,-0.0762939,0.0849366
45374,-0.000488281,-0.000976562,0.997559,-0.0944734,-0.106812,0.115454
45384,-0.000244141,-0.000732422,0.997559,0.11915,0.167847,-0.0676513
45394,-0.000244141,-0.000488281,0.99707,-0.0334382,0.106812,-0.0676513
45404,-0.000488281,-0.000244141,0.996826,0.302255,-0.0152588,0.0239015
45414,-0.000732422,-0.000244141,0.99707,-0.0639558,0.0457764,0.0239015
45424,-0.000976562,-0.000488281,0.997559,0.027597,-0.0152588,-0.0981688
45434,-0.000732422,-0.000732422,0.997314,-0.00292063,0.0152588,0.145972
45444,-0.000732422,-0.000488281,0.997559,0.0886321,0.106812,0.054419
45454,-0.000732422,-0.000244141,0.99707,-0.186026,0.106812,-0.00661612
45464,-0.000976562,-0.000244141,0.997803,0.0886321,-0.106812,0.115454
45474,-0.000976562,-0.000488281,0.998047,-0.0639558,0.0762939,0.0239015
45484,-0.000976562,-0.000244141,0.997559,0.0886321,-0.0152588,0.29856
45494,-0.000732422,-0.000244141,0.998047,0.11915,0.137329,-0.00661612
45504,-0.000244141,-0.000244141,0.998535,0.180185,-0.0762939,-0.159204
45514,-0.000488281,0,0.997803,-0.00292063,0.0762939,-0.0676513
45524,-0.000244141,-0.000244141,0.998047,0.027597,-0.0152588,0.145972
45534,-0.000244141,-0.000244141,0.998047,0.027597,0.0152588,0.0849366
45544,-0.000244141,0,0.997803,-0.00292063,-0.0457764,0.0849366
45554,-0.000244141,0.000244141,0.997559,0.0886321,0.0762939,-0.0371337
45564,-0.000488281,-0.000244141,0.997314,-0.0334382,0.137329,-0.00661612
45574,-0.000732422,0,0.99707,0.0886321,0.228882,0.145972
